name,species,diet,period,continent,type,length_m,body_mass_kg,year_named
Aardonyx,celestae,herbivore,Early Jurassic,South Africa,sauropod,8.0,,2009
Abelisaurus,comahuensis,carnivore,Late Cretaceous,Argentina,large theropod,9.0,,1985
Achelousaurus,horneri,herbivore,Late Cretaceous,USA,ceratopsian,6.0,,1995
Achillobator,giganteus,carnivore,Late Cretaceous,Mongolia,large theropod,5.0,,1999
Acrocanthosaurus,atokensis,carnivore,Early Cretaceous,USA,large theropod,12.0,,1950
Aegyptosaurus,baharijensis,herbivore,Late Cretaceous,Egypt,sauropod,15.0,,1932
Afrovenator,abakensis,carnivore,Early Cretaceous,Niger,large theropod,9.0,,1944
Agilisaurus,louderbacki,herbivore,Late Jurassic,China,euornithopod,1.5,,1990
Alamosaurus,sanjuanensis,herbivore,Late Cretaceous,USA,sauropod,21.0,,1922
Albertaceratops,nesmoi,herbivore,Late Cretaceous,USA,ceratopsian,7.0,,
Albertosaurus,libratus,carnivore,Late Cretaceous,Canada,large theropod,9.0,,1914
Alectrosaurus,olseni,carnivore,Late Cretaceous,Mongolia,large theropod,5.0,,1933
Alioramus,remotus,carnivore,Late Cretaceous,Mongolia,large theropod,6.0,,1976
Allosaurus,fragilis,carnivore,Late Jurassic,USA,large theropod,12.0,,1877
Alvarezsaurus,calvoi,carnivore,Late Cretaceous,Argentina,small theropod,2.0,,1991
Amargasaurus,cazaui,herbivore,Early Cretaceous,Argentina,sauropod,12.0,,1991
Ammosaurus,major,herbivore,Early Jurassic,USA,sauropod,5.0,,1891
Ampelosaurus,atacis,herbivore,Late Cretaceous,France,sauropod,15.0,,1995
Amygdalodon,patagonicus,herbivore,Mid Jurassic,Argentina,sauropod,15.0,,1947
Anchiceratops,ornatus,herbivore,Late Cretaceous,Canada,ceratopsian,6.0,,1914
Anchisaurus,polyzelous,herbivore,Early Jurassic,USA,sauropod,2.0,,1885
Ankylosaurus,magniventris,herbivore,Late Cretaceous,USA,armoured dinosaur,7.0,,1908
Anserimimus,planinychus,carnivore,Late Cretaceous,Mongolia,large theropod,3.5,,1988
Antarctosaurus,wichmannianus,herbivore,Late Cretaceous,Uruguay,sauropod,18.0,,1929
Apatosaurus,ajax,herbivore,Late Jurassic,USA,sauropod,21.0,,1877
Aragosaurus,ischiadicus,herbivore,Early Cretaceous,Spain,sauropod,18.0,,1987
Aralosaurus,tuberiferus,herbivore,Late Cretaceous,Kazakhstan,euornithopod,8.0,,1968
Archaeoceratops,oshimai,herbivore,Early Cretaceous,China,ceratopsian,1.3,,1987
Archaeopteryx,lithographica,carnivore,Late Jurassic,Germany,small theropod,0.5,,1861
Archaeornithomimus,asiaticus,carnivore,Late Cretaceous,Uzbekistan,small theropod,3.5,,1972
Argentinosaurus,huinculensis,herbivore,Late Cretaceous,Argentina,sauropod,35.0,,1993
Arrhinoceratops,brachyops,herbivore,Late Cretaceous,Canada,ceratopsian,6.0,,1925
Atlascopcosaurus,loadsi,herbivore,Early Cretaceous,Australia,euornithopod,3.0,,1989
Aucasaurus,garridoi,carnivore,Late Cretaceous,Argentina,large theropod,5.0,,2002
Austrosaurus,mckillopi,herbivore,Early Cretaceous,Australia,sauropod,15.0,,1933
Avaceratops,lammersi,herbivore,Late Cretaceous,USA,ceratopsian,2.3,,1986
Avimimus,portentosus,omnivore,Late Cretaceous,Mongolia,small theropod,1.5,,1981
Bactrosaurus,johnsoni,herbivore,Late Cretaceous,China,euornithopod,6.0,,1933
Bagaceratops,rozhdestvenskyi,herbivore,Late Cretaceous,Mongolia,ceratopsian,1.0,,1975
Bambiraptor,feinbergorum,carnivore,Late Cretaceous,USA,small theropod,1.0,,2000
Barapasaurus,tagorei,herbivore,Early Jurassic,India,sauropod,14.0,,1975
Barosaurus,lentus,herbivore,Late Jurassic,USA,sauropod,24.0,,1890
Baryonyx,walkeri,carnivore,Early Cretaceous,United Kingdom,large theropod,10.0,,1987
Becklespinax,altispinax,carnivore,Early Cretaceous,United Kingdom,large theropod,5.0,,1988
Beipiaosaurus,inexpectus,omnivore,Early Cretaceous,China,small theropod,2.0,,1999
Bellusaurus,sui,herbivore,Mid Jurassic,China,sauropod,5.0,,1990
Borogovia,gracilicrus,carnivore,Late Cretaceous,Mongolia,small theropod,1.5,,1987
Brachiosaurus,altithorax,herbivore,Late Jurassic,USA,sauropod,30.0,,1903
Brachylophosaurus,canadensis,herbivore,Late Cretaceous,USA,euornithopod,7.0,,1953
Brachytrachelopan,mesai,herbivore,Mid Jurassic,Argentina,sauropod,10.0,,2005
Buitreraptor,gonzalezorum,carnivore,Late Cretaceous,Argentina,small theropod,1.3,,2005
Camarasaurus,supremus,herbivore,Late Jurassic,USA,sauropod,23.0,,1877
Camptosaurus,dispar,herbivore,Late Jurassic,USA,euornithopod,5.0,,1885
Carcharodontosaurus,saharicus,carnivore,Late Cretaceous,North Africa,large theropod,15.0,,1931
Carnotaurus,sastrei,carnivore,Late Cretaceous,Argentina,large theropod,7.6,,1985
Caudipteryx,zoui,omnivore,Early Cretaceous,China,small theropod,1.0,,1998
Cedarpelta,bilbeyhallorum,herbivore,Early Cretaceous,USA,armoured dinosaur,10.0,,2001
Centrosaurus,,herbivore,Late Cretaceous,Canada,ceratopsian,6.0,,
Ceratosaurus,nasicornis,carnivore,Late Jurassic,USA,large theropod,6.0,,1884
Cetiosauriscus,stewarti,herbivore,Mid Jurassic,United Kingdom,sauropod,15.0,,1927
Cetiosaurus,oxoniensis,herbivore,Mid Jurassic,United Kingdom,sauropod,18.0,,1871
Chaoyangsaurus,youngi,herbivore,Late Jurassic,China,ceratopsian,1.1,,1999
Chasmosaurus,,herbivore,Late Cretaceous,Canada,ceratopsian,5.0,,
Chindesaurus,bryansmalli,carnivore,Late Triassic,USA,small theropod,4.0,,1995
Chinshakiangosaurus,zhongheensis,herbivore,Late Jurassic,China,sauropod,11.0,,1975
Chirostenotes,pergracilis,omnivore,Late Jurassic,Canada,small theropod,1.7,,1924
Chubutisaurus,insignis,herbivore,Early Cretaceous,Argentina,sauropod,23.0,,1974
Chungkingosaurus,jiangbeiensis,herbivore,Late Jurassic,China,armoured dinosaur,4.0,,1983
Citipati,osmolskae,omnivore,Late Cretaceous,Mongolia,small theropod,2.1,,2001
Coelophysis,,carnivore,Late Triassic,Zimbabwe,small theropod,2.0,,
Coelurus,fragilis,carnivore,Late Jurassic,USA,small theropod,1.8,,1879
Coloradisaurus,brevis,omnivore,Late Triassic,Argentina,sauropod,4.0,,1978
Compsognathus,longipes,carnivore,Late Jurassic,Germany,small theropod,0.65,,1859
Conchoraptor,gracilis,carnivore,Late Cretaceous,Mongolia,small theropod,1.5,,1986
Confuciusornis,sanctus,carnivore,Early Cretaceous,China,small theropod,0.25,,1995
Corythosaurus,casuarius,herbivore,Late Cretaceous,USA,euornithopod,10.0,,1914
Cryolophosaurus,elliotti,carnivore,Early Jurassic,Antarctica,large theropod,8.0,,1994
Dacentrurus,armatus,herbivore,Late Jurassic,United Kingdom,armoured dinosaur,6.0,,1902
Daspletosaurus,torosus,carnivore,Late Cretaceous,Canada,large theropod,9.0,,1970
Datousaurus,bashanensis,herbivore,Mid Jurassic,China,sauropod,15.0,,1984
Deinocheirus,mirificus,omnivore,Late Cretaceous,Mongolia,large theropod,10.0,,1970
Deinonychus,antirrhopus,carnivore,Early Cretaceous,USA,small theropod,3.0,,1969
Deltadromeus,agilis,carnivore,Late Cretaceous,Morocco,large theropod,8.1,,1996
Dicraeosaurus,hansemanni,herbivore,Late Jurassic,Tanzania,sauropod,20.0,,1914
Dilophosaurus,,carnivore,Early Jurassic,USA,large theropod,6.0,,
Diplodocus,longus,herbivore,Late Jurassic,USA,sauropod,26.0,,1878
Dromaeosaurus,albertensis,carnivore,Late Cretaceous,USA,small theropod,1.8,,1922
Dromiceiomimus,brevitertius,omnivore,Late Cretaceous,Canada,large theropod,3.5,,1926
Dryosaurus,altus,herbivore,Late Jurassic,USA,euornithopod,4.0,,1894
Dryptosaurus,aquilunguis,carnivore,Late Cretaceous,USA,large theropod,6.4,,1866
Dubreuillosaurus,valesdunensis,carnivore,Late Jurassic,France,large theropod,,,2005
Edmontonia,longiceps,herbivore,Late Cretaceous,Canada,armoured dinosaur,4.0,,1928
Edmontosaurus,regalis,herbivore,Late Cretaceous,Canada,euornithopod,13.0,,1917
Einiosaurus,procurvicornis,herbivore,Late Cretaceous,USA,ceratopsian,6.0,,1995
Elaphrosaurus,bambergi,carnivore,Late Jurassic,Tanzania,large theropod,6.2,,1920
Emausaurus,ernsti,herbivore,Mid Jurassic,Germany,armoured dinosaur,2.0,,1991
Eolambia,caroljonesa,herbivore,Late Cretaceous,USA,euornithopod,,,1998
Eoraptor,lunensis,carnivore,Late Triassic,Argentina,small theropod,1.0,,1993
Eotyrannus,lengi,carnivore,Early Cretaceous,United Kingdom,large theropod,5.0,,2001
Equijubus,normani,herbivore,Early Cretaceous,China,euornithopod,,,2003
Erketu,ellisoni,herbivore,Early Cretaceous,Mongolia,sauropod,15.0,,2006
Erlikosaurus,andrewsi,omnivore,Late Cretaceous,Mongolia,small theropod,3.4,,1980
Euhelopus,zdanskyi,herbivore,Late Jurassic,China,sauropod,10.0,,1929
Euoplocephalus,,herbivore,Late Cretaceous,USA,armoured dinosaur,7.0,,
